Line #,File Name,variety,plant_stage,treatment,stage_treatment,Peak#,Ret. Time,Area,Height,Mark,ID#,Name,Area%,Subsample Volume (uL),IS Added (ng),IS Conc in Subsample (ng/uL),IS Peak Area,IS Injected (ng),Inj Volume Nominal (uL),Inj Volume Actual (uL),Analyte Mass Injected (ng),Analyte Mass in Subsample (ng),Total Extract Volume (uL),Total Mass of Analyte in Extract (ug),Mass of Tissue Extracted (g),Analyte Concentration in Tissue (ug/g)
1726,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,22,6.916,757955,100103, V ,12,CBC,11.011,na,na,na,na,na,5,na,255.1476454,na,na,na,na,
1728,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,24,7.966,345051,36643,SV ,14,CBCA,5.013,na,na,na,na,na,5,,235.9106802,na,na,na,na,
1717,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,13,3.099,334433,98480, V ,6,CBD,4.859,na,na,na,na,na,5,,246.3470433,na,na,na,na,
1714,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,10,2.619,603922,184962, V ,3,CBDA,8.774,na,na,na,na,na,5,,247.9079167,na,na,na,na,
1712,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,8,2.122,358545,149255, V ,2,CBDV,5.209,na,na,na,na,na,5,,247.7774653,na,na,na,na,
1711,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,7,1.912,652491,248525, V ,1,CBDVA,9.479,na,na,na,na,na,5,,251.637811,na,na,na,na,
1716,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,12,2.927,341271,103974, V ,5,CBG,4.958,na,na,na,na,na,5,,253.4154789,na,na,na,na,
1715,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,11,2.76,598062,176349, V ,4,CBGA,8.689,na,na,na,na,na,5,,247.1113879,na,na,na,na,
1722,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,18,4.503,803759,164189,SV ,9,CBN,11.677,na,na,na,na,na,5,,251.2924267,na,na,na,na,
1724,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,20,5.777,274718,45081, V ,11,delta-8-THC,3.991,na,na,na,na,na,5,,256.4637023,na,na,na,na,
1723,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,19,5.601,321767,51648,   ,10,delta-9-THC,4.675,na,na,na,na,na,5,,244.8090533,na,na,na,na,
1727,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,23,7.187,537718,64000, V ,13,THCA-A,7.812,na,na,na,na,na,5,,239.1653125,na,na,na,na,
1718,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,14,3.372,340551,93319, V ,7,THCV,4.947,na,na,na,na,na,5,,249.1838188,na,na,na,na,
1721,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,17,4.198,584721,116266, V ,8,THCVA,8.495,na,na,na,na,na,5,,241.5658566,na,na,na,na,
1705,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,1,1.184,1317,837,   ,,,0.019,na,na,na,na,na,5,,,na,na,na,na,
1706,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,2,1.247,4256,1360, V ,,,0.062,na,na,na,na,na,5,,,na,na,na,na,
1707,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,3,1.398,2078,1096, V ,,,0.03,na,na,na,na,na,5,,,na,na,na,na,
1708,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,4,1.51,6298,2934,   M,,,0.091,na,na,na,na,na,5,,,na,na,na,na,
1709,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,5,1.533,3536,1764, V M,,,0.051,na,na,na,na,na,5,,,na,na,na,na,
1710,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,6,1.707,1933,854,   ,,,0.028,na,na,na,na,na,5,,,na,na,na,na,
1713,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,9,2.346,1001,289, V ,,,0.015,na,na,na,na,na,5,,,na,na,na,na,
1719,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,15,3.745,1283,217, V ,,,0.019,na,na,na,na,na,5,,,na,na,na,na,
1720,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,16,3.911,4924,739, V ,,,0.072,na,na,na,na,na,5,,,na,na,na,na,
1725,14 comp cannabinoid std mix 250ng 5uL run 1-17-26.lcd,,na,na,na,21,6.447,1745,272,   ,,,0.025,na,na,na,na,na,5,,,na,na,na,na,
3591,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,18,6.085,1243,206,   ,17,5.934 CA unk,0.018,na,na,na,na,na,5,,0.573713217,na,na,na,na,
3592,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,19,6.579,779918,93687, V ,18,CBC,11.148,na,na,na,na,na,5,na,262.5379708,na,na,na,na,
3594,14 comp cannabinoid std mix 250ng 5uL run 1-22-26.lcd,,na,na,na,21,7.558,362374,35097,SV ,20,CBCA,5.18,na,na,na,na,na,5,,247.5348138,na,na,na,na,
